Year,Age,Name,Movie,year,age,name,movie
2003.0,35.0,Nicole Kidman,The Hours,,,,
2004.0,28.0,Charlize Theron,Monster,,,,
2005.0,30.0,Hilary Swank,Million Dollar Baby,,,,
2006.0,29.0,Reese Witherspoon,Walk the Line,,,,
2007.0,61.0,Helen Mirren,The Queen,,,,
2008.0,32.0,Marion Cotillard,La Vie en rose,,,,
2009.0,33.0,Kate Winslet,The Reader,,,,
2010.0,45.0,Sandra Bullock,The Blind Side,,,,
2011.0,29.0,Natalie Portman,Black Swan,,,,
2012.0,62.0,Meryl Streep,The Iron Lady,,,,
2013.0,22.0,Jennifer Lawrence,Silver Linings Playbook,,,,
2014.0,44.0,Cate Blanchett,Blue Jasmine,,,,
2015.0,54.0,Julianne Moore,Still Alice,,,,
2016.0,26.0,Brie Larson,Room,,,,
